0007 006	1	Rockefeller	Pub	A	169	No	45	27	10	7	28	17	28	17
0007 012	1	Rockefeller	Pub	A	109	No	48	29	60	33
0007 014	1	Rockefeller	Pub	A	121	No	65	38	59	32	57	33	57	33
0007 117	4	Rockefeller	Pub	1	610	No	37	10	17	5	21	7	21	7
0007 121	1	Rockefeller	Pub	1	115	No	10	6	42	23	37	22	37	22
0007 201	4	Rockefeller	Pub	2	510	No	51	16	33	11	41	14	41	14
0007 203	4	Rockefeller	Pub	2	619	No	15	6	28	10	40	13	40	13
0007 204	2	Rockefeller	Pub	2	180	No	85	17
0007 205	2	Rockefeller	Pub	2	212	No	93	13	36	5	60	9	60	9
0007 206	1	Rockefeller	Pub	2	109	No	66	39	38	21	59	34	59	34
0007 208	1	Rockefeller	Pub	2	108	No	32	20	37	20	50	27	50	27
0007 209	2	Rockefeller	Pub	2	208	No	91	12	56	11	82	15	82	15
0007 210	1	Rockefeller	Pub	2	107	No	50	30	52	28	48	25	48	25
0007 211	2	Rockefeller	Pub	2	209	No	90	11	49	10	43	6	43	6
0007 214	1	Rockefeller	Pub	2	104	No	60	36	54	29	49	26	49	26
0007 215	2	Rockefeller	Pub	2	212	No	18	3	48	9	78	13	78	13
0007 216	1	Rockefeller	Pub	2	109	No	12	7	50	26
0007 217	4	Rockefeller	Pub	2	618	No	13	5	20	6	9	3	9	3
0007 221	1	Rockefeller	Pub	2	109	No	17	9	51	27	52	29	52	29
0007 222	2	Rockefeller	Pub	2	280	No	11	1	18	3	22	1	22	1
0007 303	4	Rockefeller	Pub	3	650	No	20	7	26	8	33	11	33	11
0007 306	1	Rockefeller	Pub	3	113	No	41	26	73	42	55	31	55	31
0007 310	1	Rockefeller	Pub	3	112	No	39	24	45	25
0007 312	1	Rockefeller	Pub	3	116	No	40	25	25	14	27	16	27	16
0007 316	1	Rockefeller	Pub	3	113	No	59	35	65	37	36	21	36	21
0007 317	4	Rockefeller	Pub	3	654	No	4	3	14	4	11	4	11	4
0007 321	1	Rockefeller	Pub	3	115	No	19	10	29	15	18	13	18	13
0007 403	4	Rockefeller	Pub	4	650	No	6	4	27	9	30	10	30	10
0007 410	1	Rockefeller	Pub	4	114	No	24	13	32	19	32	19
0007 412	1	Rockefeller	Pub	4	118	No	8	4	23	12
0007 414	1	Rockefeller	Pub	4	110	No	7	3	74	43	13	9	13	9
0007 416	1	Rockefeller	Pub	4	120	No	1	1	12	8	12	8
0007 417	4	Rockefeller	Pub	4	659	No	2	1	3	2	7	1	7	1
0007 421	1	Rockefeller	Pub	4	122	No	29	18	7	5	5	5	5	5
0007 501	4	Rockefeller	Pub	5	532	No
0007 503	4	Rockefeller	Pub	5	657	No	35	9	22	7
0007 504	2	Rockefeller	Pub	5	197	No
0007 505	2	Rockefeller	Pub	5	233	No
0007 506	1	Rockefeller	Pub	5	117	No	36	22	30	16
0007 509	2	Rockefeller	Pub	5	224	No
0007 510	1	Rockefeller	Pub	5	116	No	28	17	70	41	15	11	15	11
0007 515	2	Rockefeller	Pub	5	227	No	80	14	80	14
0007 516	1	Rockefeller	Pub	5	122	No	16	8	21	11	20	14	20	14
